Date,Startup,Industry_Vertical,SubVertical,Location,Investor,Investment_Type,Amount(USD),Remarks
09-01-2020,Byju’s,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,"20,00,00,000",
13-01-2020,Shuttl,Transportation,App based shuttle service,Gurugram,Susquehanna Growth Equity,Series C,"80,48,394",
09-01-2020,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,"1,83,58,860",
02-01-2020,Wealthbucket.in,FinTech,Online Investment,Delhi,Vinod Khatumal,Pre-series A,"30,00,000",
02-01-2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,"18,00,000",
13-01-2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,"90,00,000",
10-01-2020,Zomato,Hospitality,Online Food Delivery Platform,Gurugram,Ant Financial,Private Equity Round,"15,00,00,000",
12-12-2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,"60,00,000",
06-12-2019,Cardekho,E-Commerce,Automobile,Gurugram,Ping An Global Voyager Fund,Series D,"7,00,00,000",
03-12-2019,Dhruva space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,"5,00,00,000",
13-12-2019,Rivigo,Technology,Logistics Services and Solutions,Gurugram,"SAIF Partners, Spring Canter Investment Ltd.",Series F,"2,00,00,000",
17-12-2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,"1,20,00,000",
16-12-2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,"3,00,00,000",
16-12-2019,Incred finance,Finance,Non-Banking Financial Company,Mumbai,Undisclosed,Debt Funding,"59,00,000",
14-12-2019,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,"20,00,000",
11-12-2019,Rein games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,"5,00,00,000",
20-12-2019,Lenskart,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,"23,10,00,000",
13-11-2019,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,"15,00,00,000",
14-11-2019,Misters,Health and wellness,Men's Health and Wellness brand,Gurugram,"Sauce.vc, Rainforest Ventures",Series B,"4,86,000",
13-11-2019,Sunstone eduversity pvt. ltd,Education,Elearning,Gurugram,"Prime Venture Partners, LetsVenture, PS1 Venture, Rajul Garg",Seed,"15,00,000",
17-11-2019,Burger singh,Food and Beverage,Indian Burger Brand,Gurugram,RB Investments,Venture,undisclosed,
18-11-2019,Healthians,Health and Wellness,Healthcare services,Gurugram,"DG Daiwa Ventures, DG Incubation",Series B,"1,20,00,000",
