unique_Investor
"""Kedaraa Capital"
&  Angel investors.
Tamarind Family Private Trust
021 Capita
100 Co-founders Lab .
122 West Ventures
1Crowd
3ONE4 Capital Advisors
3One4 Capital
3one4 Capital
3one4 Capital Advisors LLP
3one4 capital
500 Start-Ups
500 Startups
500 Startups & Other HNIs
50K Ventures
50k Ventures
91SpringBoard
91maker.com
91springboard
A M Sikander
A91 Partners
AB Kinnevik
ABB Technology Ventures
ABCOM Investments
ABI-Showatech
ABM Knowledgeware
ADAG Reliance Private Equity
AECAL
AET Fund
AJ Ventures and Jain International Trade Organisation
AL Nour International Holdings and Mark V Investments
ANALEC
ANI Technologies Pvt. Ltd
APIS Partners
ASK Pravi
ASP Consulting
AV Thomas Group
AVG Group
AVN Business Solutions
Aakrit Vaish
Aamir Khan
Aarin Capital
Aarti Group
Aaruha Technology Fund
Aavishkaar Venture Management
Aavya Ventures
Abaran Deep
Abhai S. Rao
Abhay Singhal
Abhijit Avasthi
Abhijit Bhandari
Abhinav Bindra
Abhinav Gupta
Abhinav Mathur
Abhinav Patodia
Abhinav Sinha
Abhishek Acharya
Abhishek Agarwal
Abhishek Bhatewara
Abhishek Goyal
Abhishek Gupta
Abhishek Jain
Abhishekh Goyal
Abraaj Group
Abstract Ventures
Abu Farhan Azmi
Accel
Accion Venture Lab
Actis
Acumen Fund
Adi Saravanan
Adil Allana
Aditya Agarwal
Aditya Aggarwal
Aditya Malik
Aditya Singh
Aditya Vazirani
Aditya Verma
Aditya Vij
Adroitent Pvt. Ltd.
AdvantEdge Partners
AdvantEdge
Aegon NV
Aequs Group
Afsal Salu
Agarwal Movers Group
Agnus Capital
Aijaz Saleem
Ajai Chowdhary
Ajai Chowdhry
Ajay Data
Ajay Modani
Ajay Nanavati
Ajay Piramal
Ajay Relan
Ajay Relan and Vinay Mittal
Ajay Sarupria
Ajeet Khurana
Ajeet Khurana Jinesh Shah
Ajit Surana
Ajith Nair
Ajith Sukumaran
Ajmera Group of Companies
Akash Agarwal
Akash Bhavsar
Akash Garg
Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.
Akusa Holdings
Al Dhaheri family
Alagu Periyannan and Karthee Madasamy
Alex Chua
Alex Kuruvilla
Alexander Bruehl
Alfa Capital
Alibaba
Alibaba Group
Allen Blue
Alok Bajpai
Alok Divatia
Alok Goel
Alok Mittal
Alok Mittal and Sachin Bhatia
Alok Rawat
Alok Sharma
Alok Srivastava
Aloke Bajpai
Alpha Capital
Alpha Mundi
Alphabets growth investment arm Capital G and Axis Bank
Alphard Maritime Group
Alteria Capital
Altimeter Capital
Alto Partners
Amadeus Capital
Amajit Gupta
Amanpreet Bajaj
Amar Arsikere
Amarpreet Sawhney
Amaya Capital LLP
Amazon
Amazon Alexa Fund   Dentsu Ventures
Ambarish Ray
Ambi Parameswaran
Ambiga Dhiraj
Ambit Pragma
Ameera Shah
Amen Dhyllon
Amereus Group
American Express
American Express Ventures
Amit Agrawal
Amit Banati
Amit Banka
Amit Burman
Amit Choudhary
Amit Dey
Amit Gupta
Amit Jindal
Amit Khanna
Amit Khanna (LetsVenture)
Amit Kharbanda
Amit Manocha
Amit Nagar
Amit Nanavati
Amit Patni
Amit Rambhia
Amit Ranjan
Amit Rathore
Amit Sandill
Amit Singal
Amit Singhal
Amit Singhal and Unitus Seed Fund
Amit Sinha
Amit Tyagi
Amitpal Bhutani
Amiya Pathak
Amod Malviya
Amour Infrastructure
Amrendra Reddy and Manish Satnaliwala.
Amrish Kumar
Amrish Rau
Anand Chandrasekaran
Anand Kumar
Anand Ladsariya
Anand Mahindra
Anand Rajaraman
Anand Sankeshwar
Anand Singh
Anand Vijay
Ananda Kallugadde
Anandbir Singh
Ananth Narayanan
Anbu Pandian
Andre Hoffman
Aneesh Reddy
Aneesh Reddy & Teruhide Sato
Aneesh Seth
AngelList
AngelPrime
Angie Mahtaney
Anglian Omega Network
Anicut Capital
Anil Advani
Anil Chopra
Anil Gelra
Anil Jaggia
Anil Jain
Anil Kapoor
Anil Matai
Anil Menon
Anindya Ghose
Aniruddha Malpani
Anirudh Damani
Anirudh Rastogi
Anirudh Sheth
Anish K
Anisha Mittal
Anita Dongre
Anita Gupta
Anita Hassanandani
Anjali Bansal
Anjani Prasad
Ankit Aditya
Ankit Bhati
Ankit Gupta
Ankit Maheshwari
Ankit Nagori
Ankit Sharma
Ankur Capital
Ankur Gupta
Ankur Singla
Ankur Warikoo
Ankush Gupta
Ankush Mehta
Ankush Nijhawa
Ankush Nijhawan
Ankush Saigal
Anoop Goyal
Anoop Hingorani
Anshoo Gaur
Anshu Bahadur
Anshu Sharma
Anshul Jindal
Anshuman Das
Ant Financial
Ant Financial Services
Anthill Scale Ventures
Anthill Ventures
Anubhav Verma
Anuj Agrawal
Anuj Golecha
Anuj Gupta
Anuj Puri
Anuj Sanghi
Anuj Srivastava
Anupam Mittal
Anupam Mittal &  marquee investors
Anupam Tyagi
Anurag Chauhan
Anurag Gupta
Anurag Srivastava
Aparup Sengupta
Apis Partner
Apoletto
Apoletto Managers
Apoorv Ranjan Sharma
Apoorva Patni
Appliyifi
Applyifi
Aprameya
Aprameya Radhakrishna
Aprameya Radhakrishnan
Apurva Chamaria
Apurva Salapuria
Apurva Salarpuria
Aqeel Ahmed
Aramex Ventures Llc
Arathi Krishna
Aravind Sanka
Arihant Patni
Arihant Patni of Patni Family Office
Arjun Handa
Arjun Malhotra
Arjun Mehta
Arjun Sharmaa
Arjun and Rohan Malhotra
Arkas Industries
Armat Group
Arpan Nagdeve
Artha India Ventures
Artha Venture
Arthavida Ventures
Artiman Ventures
Arts Alliance
Arun Chandra Mohan
Arun Duggal
Arun Garg
Arun Khanna
Arun Malhotra
Arun Patodia
Arun Sarin
Arun Seth
Arun Tadanki
Arun Venkatachalam
Aruna Ganesh Ram
Arvind Jha
Arvind Uppal
Ascent Capital
Aseem Sood
Ash Bhardwaj
Asha Jadeja Motwani
Ashim Mehra
Ashish Agrawal
Ashish Chand
Ashish Dev Kapur
Ashish Dhawan
Ashish Goenka
Ashish Gupta
Ashish Gupta and other undisclosed investors
Ashish Jhalani
Ashish Kacholi
Ashish Kashyap
Ashish Lakhanpal
Ashish Mahajan
Ashish Tiwari
Ashish Todi
Ashish Toshniwal
Ashish Tulsian
Ashneer Grover
Ashok Agarwal
Ashok Goel
Ashok Kumar Gajera
Ashutosh Lawania
Ashvin Chadha
Asia Pacific Internet Group
Asian Healthcare fund
AskMe
Aspada
Aspada Advisors
Aspada Investment
Aspada Investment Advisors
Aspada Investments
Aspada Ventures
Aspire Logistics LLC
Aspire Systems
Asset Management (Asia) Ltd
Astarc Ventures
Asuka
Asuka Holdings
Atul Agarwal
Atul Goel
Atul Gupta and Saurabh Rastogi
Atul Ingle
Atul Jain
Atul Jalan
Atul Nishar
Atul Phadnis
Atulya Mittal
Augment Ventures
August Capital Partners
Auxano Deals
Avalon Ventures
Avendus Finance Pvt. Ltd
Avendus Finance
Avnish Mehra
Avtar Monga
Axan Partners
Axan Venture
Axiata Digital
Axilor
Axilor Partners
Axilor Ventures
Axilor Ventures and Binny Bansal
Axis Bank
Axis Capital
Axis Capital Partners
Axon Partners
Ayesha Takia Azmi
Ayushmann Khurana
Azim Premji
Azmul Haque
B Capital
B M Gupta
B S Nagesh
BAC Acquisitions
BC Prabhakar
BCCL
BEENEXT
BEENEXT Ventures
