Company Name,Founded,Location,Sector,What it does,Founders,Investor,Amount,Stage
LoadShare,2017,Bangalore,Logistics & Supply Chain,LoadShare is one of India's fastest-growing logistics companies with a  far-reaching express and logistics network,"Raghuram Talluri, Pramod Nair",Tiger Global,"$40,000,000",Series C
Scaler,2019,Bangalore,E-learning,Scaler is devoted to creating a growth ecosystem to help software professionals unlock talent and opportunities at every stage of their career.,Abhimanyu Saxena,Lightrock India,"$55,000,000",
Chargebee,2011,Chennai,Financial Services,Chargebee is a recurring billing and subscription management tool that helps SaaS and SaaS-like businesses streamline Revenue Operations.,"Krish Subramanian, Thiyagarajan T, Rajaraman Santhanam, Saravanan KP","Tiger Global, Sequoia Capital","$250,000,000",
Nautilus Mobile,2014,Pune,Computer Games,Nautilus Mobile is an independent mobile gaming studio,Rajan Navani,KRAFTON,"$5,400,000",
Waterfield Advisors,2011,Mumbai,Financial Services,"India's largest Multi-Family Office and Wealth Advisory firm, providing holistic advice without any conflict of interest",Soumya Rajan,,"$6,000,000",Series B
OneTo11,2020,Noida,Sports,OneTo11 is a tech driven gaming company.,Ravindra Kumar,"Maximus Capital, GDA Capital, Magnus Capital, NFT Technologies","$2,500,000",Seed
Scrut Automation,2021,Bangalore,Information Technology & Services,"Scrut Provides the deepest cloud integration, which monitors against 140+ vulnerabilities","Ayush Ghosh Choudhury, Kush Kaushik","Lightspeed, Endiya Partners","$3,000,000",
The Renal Project,2019,Mumbai,Hospital & Health Care,The Renal Project (TRP) is a chain of dialysis micro-centres revolutionizing the availability and delivery of dialysis therapy.,Shashank Moddhia,"Emcure Pharmaceuticals, Aman Gupta, Sameer Mehta",,
ZERUND,2018,Guwahati,Building Materials,Zerund brick is known as Plastic Embedded Lightweight Brick. It is a patented lightweight brick of Zerund Manufacturing Pvt. Ltd.,"Rupam Choudhury, Mousum Talukdar, David Pratim Gogoi",NEDFi Venture Capital,Undisclosed,Pre-series A
Zama Organics,2016,Mumbai,Food & Beverages,Zama offers fresh organic produce sourced from farmers and artisans around India.,Shriya Naheta Wadhwa,"Ajay Kaushal, Arjun Lamba",Undisclosed,Pre-series A
Jar,2021,Bangalore,Financial Services,Jar is a daily gold savings app that lets you save money by taking spare change from your online transactions and investing it in digital gold automatically.,"Misbah Ashraf, Nishchay AG",Tiger Global,"$32,000,000",Series A
Bombay Shaving Company,2015,New Delhi,Consumer Goods,Personal care and hair removal brand,Shantanu Deshpande,Gulf Islamic Investments,"$6,000,000",
Logibricks,2017,Pune,Computer Software,Logibricks is a SaaS platform that helps online retailers manage their post-purchase operations from start to finish.,"Ameya Shah, Karan Kabra, Shereef Mohammed",Shiprocket,"$1,500,000",
Pillow,2021,Bangalore,Financial Services,"Pillow aims to make participation in DeFi as simple as possible, by abstracting out all technical, security, and strategic concerns","Arindam Roy, Rajath KM, Kartik Mishra",Elevation Capital,"$3,000,000",Seed
SatSure,2017,Bangalore,Defense & Space,SatSure is an innovative decision analytics company,"Prateep Basu, Rashmit Singh Sukhmani, Abhishek Raju","Baring PE India, ADB Ventures","$5,000,000",Pre-series A
Trifecta Capital,2015,Gurgaon,Venture Capital & Private Equity,Trifecta Capital is India's leading alternate financing platform for startups across their life cycle.,"Rahul Khanna, Nilesh Kothari",,"$200,000,000",
Kritsnam,2015,Hyderabad,Information Technology & Services,Kritsnam Technologies has evolved from IIT Kanpur research and innovation centre with a vision towards data-driven water management.,"K Sri Harsha, Prudhvi Sagar, Vinay Chataraju, Neeraj Rai","Ashish Gupta, Kunal Shah, Vikram Karunakaram","$800,000",Pre-series A
Dvara SmartGold,2019,Mumbai,Financial Services,Investment service to financially integrate every household in the country through a uniquely curated gold savings plan.,Sanjeev Agarwal,"Axilor, Dvara Holdings","$2,000,000",Pre-series A
GoalTeller,2020,Bangalore,Information Technology & Services,GoalTeller is a bootstrapped fintech startup with an aim to provide financial planning tools to individual investors.,"Vivek Banka, Abhisek Puglia","Dr Ranjan Pai, Pankaj Fitkariwala, Himanshu Bhagat","$500,000",Pre-series A
Goldsetu,2021,Bangalore,SaaS,Gold Setu is a mobile-first SaaS platform for jewellery retailers that helps them to automate their workflows and digitally engage with their customers.,"Vikas Verma, Anuj Sachdev","Village Global, Better Capital, Titan Capital, iSeed","$1,200,000",Seed
Meraqui,2019,Pune,Human Resources,"A SaaS-enabled platform for effective grey and blue-collar workforce management specializing in employee lifecycle management, jobs and requisition management, and training and/or interview assessments.","Shalin Maheshwari, Lalit Singh",,"$1,000,000",Seed
Elever,2020,Bangalore,Financial Services,"India’s one-of-a-kind, fully personalised, goal-based investing app.","Anshul Sharan, Ram Subramaniam, Santosh R","Massimo Vita, Udaya Kumar","$750,000",
