Company Name,Founded,Location,Sector,What it does,Founders,Investor,Amount,Stage
Mamaearth,2016,Gurgaon,"Health, Wellness & Fitness","Making products which are mum-baby friendly, toxin-free, meet stringent international standards & are basically ultra awesome, MamaEarth was born.",Varun Alagh,Sequoia,"$52,000,000",
EsportsXO,2020,Bangalore,Mobile Games,"An esports company which offers tournament management, creator management & content","Utsav Umang, Rohit Raj, Vikas Goel","We Founder Circle, Wami Capital, SucSEED Indovation Fund","$1,000,000",Seed
Geniemode,2021,Gurgaon,Import & Export,Geniemode is building an extensive online platform solution for global buyers ranging from Mom & Pop stores to global giant retailers.,"Tanuj Gangwani, Amit Sharma","Deepinder Goyal, Kunal Shah, Prashant Malik, Pankaj Gupta","$7,000,000",Series A
Exotel,2011,Bangalore,Telecommunications,"Customer engagement platform, streamlining customer interactions for Swiggy, Ola, Flipkart, GoJek etc.",Shivakumar Ganesan,Steadview Capital,"$40,000,000",Series D
Innoviti Payment Solutions,2002,Bangalore,Financial Services,Innoviti is India’s most exciting payments company that has always brought differentiation through innovative solutions to solve real-world payment problems for businesses.,Rajeev Agrawal,"Trifecta Debt Fund, Patni Advisors, Bessemer Venture Partners","$10,000,000",
Pine Labs,1998,Noida,Information Technology & Services,"Pine Labs offers a merchant platform that includes technology and financial solutions for merchants to help them in increasing their revenue, reducing the cost and complexity of running business, and managing the risks involved.",Amrish Rau,State Bank of India,"$20,000,000",
Moneyboxx,2018,Mumbai,Financial Services,A NBFC democratising access to capital to the undeserved micro entrepreneurs in Tier 3 and beyond cities of the country.,MAYUR MODI,,"$1,000,000",
CASHe,2016,Mumbai,Financial Services,CASHe is a credit-enabled financial technology platform that offers a wide range of consumer lending products and services including personal loans,Raman,TSLC,"$10,000,000",
iD Fresh Foods,2006,Bangalore,Food Production,"iD Fresh Food is professional assistant in the kitchen, helping rustle up 100% natural and authentic Indian meals in a jiffy; with no chemicals, preservatives or artificial flavors.","PC Musthafa, Abdul Naser",NewQuest Capital Partner,"$60,000,000",Series D
Freecultr,2020,New Delhi,Apparel & Fashion,"FREECULTR is an inner, sleep, lounge and active wear brand where comfort meets style, premium meets affordable and skin meets its first love!","Shrey Luthra, Harshit Vij",Sixth Sense Ventures,"$5,000,000",Series
Udaan,2016,Bangalore,B2B E-commerce,Udaan is India’s largest b2b eCommerce platform that is empowering small businesses through the power and scale offered by eCommerce.,"Amod Malviya, Vaibhav Gupta, Sujeet Kumar",,"$200,000,000",
LivFin,2017,Gurgaon,Financial Services,LIVFIN is a Non-Banking Finance Company (NBFC) registered with the Reserve Bank of India.,Rakesh Malhotra,BlackSoil,"$2,000,000",
Bambrew,2018,Bangalore,Renewables & Environment,Empowering Sustainability,Eradicating Single Use Plastic,Uplifting Rural Development,Vaibhav Anant,"Blue Ashva Capital, Supack Industries"
Courseplay,2012,Mumbai,E-learning,"An AI-powered, talent development suite focused on maximizing training ROI for learning-led business growth",Arjun Gupta,Inflection Point Ventures,"$400,000",Seed
Dunzo,2015,Bangalore,E-commerce,"Dunzo is an all-in-one 24X7 delivery platform, that picks and delivers anything and everything within the city while guaranteeing super-quick deliveries.","Kabeer Biswas, Ankur Agarwal, Dalvir Suri, Mukund Jha",Reliance Retail Ventures Limited,"$240,000,000",
Rupifi,2020,Bangalore,Financial Services,Building Financial Solutions for B2B Transactions and Payments,"Anubhav Jain, Ankit Singh, Jawaid Iqbal","Venture Partners, Tiger Global","$25,000,000",Series A
AarogyaAI,2019,New Delhi,Hospital & Health Care,AI-enabled SaaS that diagnoses drug-resistant tuberculosis,"Praapti Jayaswal, Avlokita Tiwari","Redstart Labs, Avaana Capital","$700,000",Seed
Avataar,2014,Bangalore,3D AI company,Avataar is a 3D AI company that helps large enterprise customers create immersive and interactive shopping experiences for their end consumers.,"Prashanth Aluru, Sravanth Aluru, Gaurav Baid, Mayank Tiwari","Tiger Global, Sequoia Capital India","$45,000,000",Series B
Power Gummies,2018,New Delhi,"Health, Wellness & Fitness",Sell crafted Gummies with Vitamins in pursuit of health powered by happiness and backed by Science.,Divij Bajaj,"9Unicorns, Wipro","$6,000,000",Series A
The ePlane Company,2017,Chennai,Aviation & Aerospace,The ePlane Company was started at IIT Madras in April 2017 by Professor Satya Chakravarthy and Pranjal Mehta to transform the mobility landscape.,"Satya Chakravarthy, Pranjal Mehta","Speciale Invest, Micelio","$5,000,000",Pre-series A
Grip Invest,2020,Gurgaon,Financial Services,"Grip offers investment opportunities to invest in physical assets leased to corporates, to earn fixed monthly returns.","Nikhil Aggarwal, Vivek Gulati",,"$1,000,000",
Recykal,2017,Hyderabad,Information Technology & Services,"Digital Technology company for Waste Management, Recycling Industry","Abhay Deshpande, Abhishek Deshpande",Morgan Stanley,"$22,000,000",
DMI Finance,2008,New Delhi,Financial Services,A pan-India technology-driven financial services company focused on digital lending,Arindam Das,Sumitomo Mitsui Trust Bank,"$47,000,000",
Rupeek,2015,Bangalore,Financial Services,"Rupeek is India’s leading asset-backed, digital lending fintech platform.",Sumit Maniyar,Lightbox,"$34,000,000",
Ippo Pay,2020,Chennai,Financial Services,"Ippopay provides Payment Solutions for Businesses, SMEs, and Freelancers. IppoPay is the first Payment Gateway from TN",Jai Kumar,Coinbase Ventures,"$2,000,000",
OneDios,2019,Noida,Information Technology & Services,"OneDios founded in 2019  is a startup initiative to provide ""direct from company"" end customer service experience to all Indian customers.",Nitin Chawala,"India Angel Network, LetsVenture","$1,200,000",
zeda.io,2021,Bangalore,Computer Software,"Zeda.io helps Product Teams and entrepreneurs to define, manage, and collaborate on their Products.","Vaibhav Devpura, Prashant Mahajan",BEENEXT,"$1,200,000",Seed
Glamplus,2020,Bangalore,Computer Software,"Glamplus is a SAAS platform in the beauty and wellness space to digitize $200bn economy of Salons, Spas and Gyms in India and the South-East Asia market. We are spread across 15+ cities.",Divyanshu Singh,Blume Ventures,"$700,000",
